Dansk navn ,Botanisk navn,Vært,Jord,Stoerrelse,Antal pr. m2,Farve,kendetegn,blomstring 
Ager-stedmoderblomst,Viola arvensis,"Humlebier, Enlige bier, Dagsommerfugle",alm havejord,40,9,"cremehvid, gul",,IV-X
Ager svinemælk,Sonchus arvensis,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",alm havejord,150,7,gul,,VI-IX
Alm. kongepen,Hypochoeris radicata,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",alm havejord,50,9,gul,,VI-IX
Alm. syre,Rumex acetosa,"Dagsommerfugle, Fugle, Andre arter",alm havejord,100,5,roed,,V-VI
Almindelig bjørneklo,Heracleum sphondylium,"Humlebier, Enlige bier, Svirrefluer, Andre arter","alm havejord, eng, krat, mose",200,,hvid,,VI-VII
Almindelig brunelle,Prunella vulgaris,"Humlebier, Enlige bier",,40,,,,
Almindelig fredløs,Lysimachia vulgaris,Enlige bier,,,,,,
Almindelig gedeblad,Lonicera periclymenum,"Humlebier, Dagsommerfugle, Fugle, Andre arter",,,,,,
Almindelig hundegræs,Dactylis glomerata,"Dagsommerfugle, Fugle, Andre arter",,,,,,
Almindelig hvidtjørn,Crataegus laevigata,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",alm havejord,,,,,
Almindelig katost,Malva sylvestris,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Almindelig knopurt,Centaurea jacea,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Almindelig kællingetand,Lotus corniculatus,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Almindelig lungeurt,Pulmonaria obscura,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Almindelig mjødurt,Filipendula ulmaria,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Almindelig røllike,Achillea millefolium,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Almindelig røn,Sorbus aucuparia,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
